step,loss,reward_valid_json,reward_has_required_keys,reward_env_interaction
0,1.9855909670422072,0.2965419279933696,0.29777368276864674,0.21976300783531064
5,1.9497411716217112,0.27005293171318084,0.30664636688135427,0.20360675053799362
10,1.9033041315854806,0.30231769573401707,0.3046459547381344,0.2354498599314842
15,1.9531636506798669,0.30221014354887665,0.28523356795310356,0.19510067125508504
20,1.8746342195211203,0.32622161654408094,0.30083313727806765,0.21646777379321105
25,1.865677622040087,0.27092909403982646,0.2937544536571088,0.2315819653796175
30,1.8623404385379445,0.2951874065468973,0.3075319971737582,0.2298947087067527
35,1.8157326808703642,0.27773555571503655,0.3113650137517077,0.1977661409122293
40,1.4380054577781147,0.28786218543600994,0.2816837990730801,0.24866846643498425
45,1.7289265899612896,0.2756185051740861,0.31694722846696,0.21415663458129888
50,1.6163756153663715,0.29412200444086933,0.3022883971492184,0.25358197676776706
55,1.6513413790792442,0.3069977020373842,0.312998961956126,0.24973910175845687
60,1.48730145347804,0.28565257812366845,0.2906006345172797,0.2530626863597731
65,1.4874884429002615,0.34671508444961097,0.28361414915627015,0.22394796834818798
70,1.5518473515469697,0.3284369996268693,0.3101138538167852,0.26542912049563266
75,1.5801344977442162,0.2981194504796739,0.27154082133722046,0.2407922692390352
80,1.4952895757316575,0.2711264318784342,0.3006706264157452,0.259149091794625
85,1.3309407835186329,0.31447263972736195,0.3116155948305313,0.3030884901740634
90,1.3869967767773135,0.28781193082713874,0.28876404815331935,0.24252613189827293
95,1.3827273559815823,0.28866334330372595,0.29859478452598803,0.2765588483924255
100,1.1776537009348593,0.2941268407276456,0.26317427468792165,0.24225214988598426
105,1.1557263587808149,0.30831521977033344,0.3238698654488659,0.2657716054047292
110,1.20113642791998,0.30335938737094464,0.3216948222690721,0.286154105471116
115,1.1648693315407543,0.27978111393109373,0.3180677062868919,0.2779575352422131
120,1.222694154971422,0.2994018681463757,0.33906201848967693,0.265109028100753
125,1.2218060414263043,0.30230237945214466,0.28967461981508996,0.2515649240123645
130,1.0098969448461164,0.3284664205233437,0.31632748993229454,0.2896534012078269
135,0.74991274269088,0.31421928409140076,0.3111170482183968,0.26651087078715296
140,0.8872615633819606,0.2999537909637284,0.3344975252629746,0.25793036613335846
145,0.8697194965263716,0.32723569500701166,0.291076984011445,0.27315729701452945
150,0.8847776347288677,0.2751742124672861,0.30439890860300023,0.25754470973044763
155,0.9260198310358143,0.3000636164551598,0.34566862933695497,0.28853139941920297
160,0.9365689490432747,0.2739347205656527,0.2975572131295627,0.290436006385993
165,0.937072091837105,0.2663816812395807,0.3198123935961764,0.29673802228093626
170,0.8783546195738131,0.3142477103615744,0.301041423702079,0.275293696142223
175,0.562682028215728,0.3039084552980594,0.29616606462009376,0.32682442368223596
180,0.5888975172015152,0.3064078369041022,0.2686199716064854,0.2790777861365091
185,0.6386147880091098,0.3164792002503901,0.328962033736562,0.28654673221680943
190,0.46327551209391155,0.3091570079898308,0.31033974196827585,0.29757953535188136
195,0.4674712300825268,0.3226676879517377,0.3017579182180903,0.3019330601060856
200,0.6274073240094448,0.312185446411317,0.3057303205596354,0.33105590470201046
